text	subject_id
among the hidden structured note chapter 1-5 evidence based writing unit to go along with the novel among the hidden student will write a short summary of each chapter they read define vocabulary word using context clue and answer a focus question using evidence from the text these note can use the same focus question graphic organizer a the a long walk to water structured note to help student gather their evidence and make inference	0
on the go country in on the go student use international financial and measurement conversion to practice solving word problem with addition and subtraction representing time on a number line and drawing scaled picture and bar graph a photojournalist they must use the travel time and cost to select an airline ticket this performance task ha different edition for 8 country	1
solving one step equation with multiplication and division this on line interactive lesson is a great way to have student practice solving one step equation that involve multiplication and division the lesson is accessed through the website wizer me on which you can easily log in with a free account this lesson can be used in many different way to fit the need of your classroom it provides instruction and practice which mean it can be used to reinforce the topic or introduce it student can work on it completely independently this allows you to assign it to your class a homework or have them work on it in class while you are able to work with student individually or in small group the lesson is editable which mean you can customize it to the need of your student using the wizer me website you are able to create your own lesson or access already created lesson such a this one it allows you to assign lesson to your student in a variety of way including through google classroom it also give you the choice to have feedback automatically sent back to your student when they complete the assignment and you have full access to their submitted answer	1
flipped classroom assistance incorporating the video tutorial series from professor messer can be a valuable asset to teacher with any certification series in their classroom especially comptia certification	0
spanish vocabulary bedroom furniture and household item crossword puzzle this pictorial crossword on bedroom furniture and household item el dormitory loch mumble y loch art and acute culoch mod and acute stoic is for teacher and student alike who are interested in teaching or learning spanish direction fill in the grid with the corresponding spanish word for the given picture clue answer are included download and have fun	0
nutty fun ten frame puzzle and playdoh math center your student will love these hands-on ten frame activity that help develop number sense perfect for seasonal fun contains two engaging center student work individually or in small group to match number to ten frame and build number using downplay or manipulative great for small group instruction and remediation too file includes 1 ten frame 2-part puzzle number 0-20 0 ten frame work mat for playdoh or manipulatives number 1-20 ten frame activity sheet for accountability practice or formative assessment common core aligned k cc a 1 k cc a 3 k cc b 4 1 nbt b 2 a b be sure to check out my other common core math resource	1
lever me alone what doe it take to balance a teeter totter join force with our ted ed lesson to learn about the mathematics behind the lever student will use proportion to creatively solve and discus the structure of equation in relation to the lever mathematical domain expression and equation ratio and proportional relationship algebra standard grade level 7-9 7 rp a 2 a 7 rp a 2 c 8 ee c 7 hsa sse a 1 hsa sse a 1 hsa ced a 2 hsa ced a 3 topic proportion creating or writing or modeling or solving equation structure of equation grade level s seventh eighth ninth duration approximately 2 day resource lesson plan individual powerpoint presentation pdf activity	1
tinytap gerund or infinitive for esl student for english language learner practice gerund and infinitive in most major esl grammar text about tinytap tinytap is a social platform which empowers family teacher and student to learn from each other by creating their own personalized learning app and playing thousand of new one shared daily by a worldwide community of educator and learner worldwide kid kid can easily create and play fun interactive game from everyday photo and image enjoy making game for younger kid and or or use the app to create game for a class activity check out all of the game made by kid on tinytap parent tinytap is a great way for parent to educate and interact with their kid by creating personalized game for them using family photo familiar image and special activity teacher teacher can quickly and easily create fun educational activity for any purpose and engage their student in something new educator around the world are creating valuable learning activity based on the school curriculum see what teacher are doing on tinytap special need special need teacher and caretaker can utilize this simple and powerful platform to come up with new way to help those in need and personalize activity to fit each person individually there are hundred of way to play with tinytap here are a few idea to get you started quiz our simple question and answer activity allows you to record question answer and feedback for mistake in your own voice interactive presentation make fun engaging presentation in minute instead of using your typical slide actively involve your audience in the presentation by doing it a a fun tinytap game digital textbook convert existing school textbook into engaging tinytap activity or create new one classroom activity tinytap is a great way to create fun classroom game and activity utilizing the i pad using tinytap s multiple activity the app can be used to teach any new subject ass old one and tailor to fit student need	0
ordering number least to greatest bundle plus roll and build game this is a bundle of 9 different worksheet plus 1 game that address the kindergarten counting and cardinality common core state standard these worksheet provide you with three different level of ability you can easily laminate these and have child fill them out over and over a an independent activity my class love it for further differentiation consider using or not using number line and hundred square includes 3 lower ability 1-20 3 middle ability 1-50 and 3 upper ability 1-100 sheet also have a look at one of my other resource the complete hundred square collection if you are looking for an attractive hundred square in the same style a these sheet you can find it here the bundle today and find included this special extra roll and build your student play against one another rolling dice and building tower with the correct amount of cube once the whole board is covered up student challenge themselves to count up their colour cube or loge and see who had the most you can also play the game and have child use one colour each whenever they roll a number they place one of their colour onto that tower who build the tallest tower	1
let u talk a discussion presentation to help visualize the important character and object to be discussed	0
olaudah equiano recall the middle passage text and question olaudah equiano 1745-1797 also known a gustavus vassa wa a freed slave turned prominent african man in london equiano become an abolitionist and began to record his life story after being freed this text is an excerpt from equiano s autobiography the interesting narrative of the life of olaudah equiano in which equiano tell the tale of his brutal voyage across the atlantic to the caribbean	0
thanksgiving symbalooedu webmix thanksgiving resource for the elementary classroom including game song video and history	0
expressing happiness based on rle pod cast	0
google doc in the classroom a book about the real time collaboration of doc in google drive make it ideal for group assignment revision cycle and shared note built in tool like auto save and revision history comment and an equation editor are useful for student and teacher alike	0
introduction to quadratic function and their graph this is a guided note word document based on quadratic function the lesson begin with different quadratic graph and how the shape are changed by different equation ex more narrow or wide or translation on the y-axis the lesson then move onto standard form of a quadratic function and the different part of the equation then the note explain how to find the vertex and the axis of symmetry for a quadratic function	1
java level 7 covered the theory now practice the coding java level 7	0
analyzing graph lesson 2 this screen cast walk student through the process of analyzing a graph and answer question lesson 2 in a series of 4	1
civilization revolution semester long project this game that you will be playing is based upon a game designer sid meier popular civilization revolution 2 series for the i pad student who have been enrolled in the course for the entire semester will be able to assume the role of a historic leader many of which have been studied in class throughout the semester and will lead their civilization from very primitive early stage neolithic age to the modern age in a span of le than five hour while the student are leading their chosen civilization through the age they will be engage in various different form of diplomacy with neighboring culture aka your fellow classmate via the multi-player mode develop new science and technology monitor their economy and culture and engage in warfare with other civilization plus you will be able to play against three of your classmate too is there any better way to teach about ancient civilization than to use an i pad and download what u appears to be a game this project ha been organized into four different stage which are researching a civilization case study practice game civilization journal your civilization in history through the use of this program and using the i pad in educational technological way it is expected that student will research and presentation skill in the following area a 1 apply research skill a 2 apply critical thinking skill a 3 communicate their knowledge and understanding about civilization by using effective written oral and graphic communication skill through educational technology additionally student will gain a further understanding of the foundation of civilization skill in the following area b 1 describe concept that define the study of civilization b 2 analyze element and characteristic that contribute to the identity of civilization	0
graphing linear equation in two variable 2 learn how to graph an inequality this resource is from the ck-12 library	1
blog-tastic in blog-tastic student use their favorite place to practice composing narrative piece using a combination of writing and drawing when they finish they can repeat the activity using a different place this essential ha edition for 13 different place including mall park and science lab	0
gas pressure law and star formation this goolge slide show or lesson plan introduces and explains the gas pressure law linking it to star formation academic objective student will describe the difference between the kelvin scale and celsius a well a describe the gas law equation will be able to turn celsius into kelvin and use the gas constant equation will be able to use the molecular model to explain the gas law there are additional resource to go with this in the form of an edmodo quiz and test exam question with an answer sheet it is designed for presentation in front of the class but a it is a google presentation it can be it copied edited shared with student to allow them to learn independently or to consolidate their own understanding there is also a khan academy tutorial to assist learning outside of the class science and engineering practice skill using mathematical and computational thinking mathematical and computational thinking in 9 12 build on k 8 experience and progress to using algebraic thinking and analysis a range of linear and nonlinear function including trigonometric function exponential and logarithm and computational tool for statistical analysis to analyze represent and model data simple computational simulation are created and used based on mathematical model of basic assumption use mathematical or computational representation of phenomenon to describe explanation hs-ess 1 -4 constructing explanation and designing solution constructing explanation and designing solution in 9 12 build on k 8 experience and progress to explanation and design that are supported by multiple and independent student-generated source of evidence consistent with scientific idea principle and theory construct an explanation based on valid and reliable evidence obtained from a variety of source including student own investigation theory simulation peer review and the assumption that theory and law that describe the natural world operate today a they did in the past and will continue to do so in the future hs-ess 1 -2 apply scientific reasoning to link evidence to the claim to ass the extent to which the reasoning and data support the explanation or conclusion hs-ess 1 -6	0
video berlin german lesson ted-ed is a free educational website for teacher and learner this platform allows user to take any useful educational video and easily create a customized lesson around the video user can distribute the lesson publicly or privately and track their impact on the world a class or an individual student	0
pollution clean air kidd	0
the rule of four linear equation this graphic organizer and practice problem help student understand how to communicate mathematical concept in four different representation graphical numerical algebraic word this specific rule of four handout focus on linear representation	1
thing fall apart first impression this is an organizer for student to begin to use the text to form their thought about a central idea in the novel based on the father-son relationship	0
entrepreneur assignment this assignment is to be used after student have learned the basic of economics and entrepreneurship land labor and capital with part i of this assignment student pick and research and entrepreneur and complete the answer based on their research in part ii of the assignment student become an entrepreneur here they come up with a good or service that they want to produce their creativity is endless once they have decided their product they then must provide example of the land labor and capital they will use what need is being met and if there is anything that could inhibit their growth this is a great way to get student to think about the basic of economics and entrepreneurship a well a be creative	0
scaling shape activity an activity that pair with phet area builder simulation	1
hundred 100 square large collection fun with hundred square this is probably the most complete collection of hundred square available at this time i have handmade all version in photoshop to suit different class or need there are version with or without border or with or without number or colour or black and white a total of 18 page will enable you to provide useful hundred square for your little learner and a they become more confident at using these you can easily adapt your lesson by offering a different hundred square version a a bonus i have added a snake and ladder game and three different size of dice you can easily make in case you need them all image have been self made at a high a 3 print resolution and can be printed both big or small without quality loss every page ha a black and white version custom made with hand picked grey scale colour to ensure easy printing and photocopying you might want to send home a hundred square for parent and child to practice list of all included version hundred square with border colour plus black and white hundred square with border and number colour plus black and white hundred square with border and background colour plus black and white hundred square with border background and number colour plus black and white hundred square with background only colour plus black and white hundred square with background and number colour plus black and white hundred square with border colour plus black and white hundred square with snake and ladder game colour plus black and white hundred square element digit finder or one more-one le or two more-two le colour plus black and white dice 3 size for easy printing and creating colour plus black and white	1
high school sketchbook schedule qt 2 student all sketchbook are due at the end of each week on friday they must be placed in my sketchbook bin on my desk in order to be graded remember to use all of the space on your paper 10 you must use the first 15 minute of every class period in order to have success with your sketchbook 10 the composition must be complete and you must show use of a specific medium 10 1 sketch is due per week i can tell if you took your time on this or not 10	0
country research activity esl or ell or eld this 1-hour activity for interactive notebook is a fun way for student to research a country and then talk about it with classmate it requires student to research basic information about their country and then earn visa from classmate by sharing the information with others it s fun dynamic and communicative how can i use it -as a quick lesson plan for a substitute teacher -as a way to integrate culture into a lesson or unit-as a way to get student thinking like global citizens-as a learning station or learning center-as a speaking activity who is it for -esl or ell or eld student at novice level or higher-students in grade 6-12at the end of the lesson student will be able to-ask and answer about their name age and birthday-ask and answer about a country s flag capital population currency and leader includes -6 page of content-detailed instruction and idea for use-interactive notebook activity-vocabulary list for asking questions-detailed instruction sheet for student great for a sub	0
